age,income,dependents,has_property,has_car,credit_score,job_tenure,has_education,loan_amount,loan_period,delay_days
59,82645,6,1,0,487,29,0,492451,930,3
74,12040,4,0,1,876,27,1,145727,1350,45
39,31559,2,0,1,419,35,0,119173,720,6
19,31363,4,1,1,709,22,1,150743,1710,31
23,58126,10,0,1,504,37,1,473007,240,4
74,32672,3,1,0,697,27,1,218717,90,3
61,61910,4,0,1,489,27,0,206567,1110,2
44,36565,8,1,1,541,21,1,281702,930,17
35,35486,1,0,0,567,10,0,110452,1230,11
44,55633,8,1,0,579,39,0,217218,1440,8
46,101687,6,0,0,384,5,1,626623,660,1
44,44906,2,1,0,536,27,0,154467,180,1
24,103377,3,0,0,787,37,1,119959,1560,0
71,119821,2,1,1,316,13,0,345245,1440,0
27,33343,10,0,1,837,24,0,189955,1680,33
52,48006,6,1,1,777,24,0,290815,390,3
37,63446,4,1,0,436,0,1,139299,750,0
63,79594,8,0,0,513,31,1,158321,1110,0
65,120774,0,0,1,544,16,1,371333,1380,0
49,34477,2,0,0,842,32,0,413309,240,14
70,77490,0,0,1,530,37,0,238973,360,0
70,48275,1,1,1,613,14,0,233028,1110,8
78,40734,6,1,0,447,19,0,146457,210,1
66,20058,5,1,1,424,32,0,144586,330,8
57,46889,2,1,0,343,1,1,164582,1800,18
23,39721,6,0,1,815,19,0,466212,1740,69
34,66653,7,0,0,367,37,1,484981,540,5
59,115042,10,1,1,893,19,0,178587,810,0
75,22785,4,0,0,618,18,1,193132,1320,34
41,15821,10,1,1,653,31,0,428440,1680,100
26,36675,0,1,1,655,12,1,516431,210,20
63,30011,9,0,1,476,39,0,194473,1260,23
49,27205,1,1,1,879,26,0,152068,1410,26
59,31943,5,0,1,883,9,0,229619,1500,34
28,17779,7,1,1,717,6,1,290847,420,23
71,47051,7,0,1,745,14,0,181424,1800,19
46,62925,7,1,1,592,24,1,304958,330,1
22,22462,7,1,1,472,34,1,216789,840,22
76,89222,0,0,1,417,24,0,132439,1710,0
54,34616,0,1,1,487,28,1,381847,1620,59
27,82346,0,0,1,520,9,1,151357,120,0
61,119867,8,1,0,467,25,0,554119,270,0
64,42758,3,0,0,834,28,1,147345,540,2
55,38477,6,1,1,580,10,0,229334,1230,17
51,44237,1,0,0,588,40,0,186812,1260,10
78,41895,9,1,0,538,21,0,295618,480,6
57,75318,5,1,1,321,30,0,119937,270,0
30,99075,0,0,1,746,17,0,336882,120,0
41,109028,5,0,0,519,37,1,169804,60,0
74,43113,1,1,1,353,24,0,124392,60,0
41,28138,1,1,0,590,25,0,730634,1800,153
64,99324,3,0,1,851,26,1,406979,90,0
58,130792,7,0,1,392,34,1,257726,480,0
45,31150,7,0,0,553,30,1,274643,360,9
70,60393,2,1,0,324,3,1,109244,510,0
38,113023,6,0,1,669,24,1,163615,1800,0
69,30657,7,0,0,375,20,1,318208,1710,59
73,66332,5,1,1,371,36,1,272701,1380,5
20,34595,8,0,0,832,36,1,200368,570,7
76,27229,10,1,1,613,36,0,562831,1410,91
76,133940,7,1,0,493,15,0,284731,690,0
50,53761,8,1,0,634,28,1,233374,1680,15
45,43863,1,1,1,646,21,1,613422,1260,64
69,40681,6,1,0,646,0,1,489005,150,13
28,54930,2,0,1,677,10,1,264101,330,1
79,29797,6,0,0,659,0,0,160529,1020,14
36,44231,4,1,0,893,35,0,195123,960,7
22,64930,4,1,0,602,18,0,186882,300,0
59,102282,8,1,1,373,38,0,544851,360,0
73,58047,4,1,0,481,29,0,109251,1560,4
56,46779,0,1,0,852,18,1,513103,570,19
22,61935,8,1,0,469,13,0,748741,390,23
28,110783,2,0,0,893,28,1,758247,1170,5
51,37664,0,1,0,393,7,0,397470,1440,48
46,53026,7,1,0,715,3,1,283832,540,3
31,45963,1,1,1,482,3,0,216037,420,2
26,39431,2,0,0,622,18,1,454576,90,11
55,121344,1,1,0,862,15,1,208009,660,0
34,28034,2,1,1,617,10,1,512402,870,58
72,45596,10,0,0,632,14,1,270583,300,3
60,46841,1,0,0,712,35,1,474832,840,23
52,14580,9,0,1,891,6,0,120740,1560,46
23,62391,1,1,0,506,9,1,183746,1560,5
64,55019,9,1,0,634,28,0,134063,930,2
69,46168,4,1,1,709,5,1,184790,270,1
74,56296,1,0,1,388,36,1,147923,1530,6
55,68309,2,0,0,387,31,0,163070,180,0
66,37600,3,1,0,547,24,0,157358,780,6
60,52018,2,1,0,870,28,1,189361,1380,8
73,12519,9,1,1,499,18,0,104653,1590,48
47,106019,4,1,1,684,39,1,129173,300,0
52,42129,0,1,0,545,7,0,355713,1350,31
56,50772,6,0,1,356,22,1,383952,1500,29
66,46832,10,1,0,434,12,0,204972,1440,13
30,31007,10,0,0,588,20,1,439215,1650,74
43,59283,2,0,0,623,25,1,148775,780,1
55,19511,3,0,1,355,21,1,489906,600,57
70,31569,6,0,0,541,19,1,175418,1260,19
38,33723,1,0,1,353,22,0,133111,360,3
22,24027,9,0,0,335,26,1,264985,1080,34
40,42860,7,1,0,711,35,0,200996,450,3
39,114597,2,0,0,393,40,1,229358,1290,0
38,34805,3,1,0,369,3,1,176845,1410,20
69,50313,1,0,0,436,24,0,265525,840,6
53,101053,3,0,1,816,9,1,348065,1080,0
32,55385,6,1,1,440,16,1,165697,1320,5
33,76541,6,1,1,442,32,1,194105,1410,1
44,41949,7,0,1,638,31,1,554568,240,20
80,54844,8,0,1,790,14,0,104124,1680,6
40,59800,0,1,1,371,34,0,336477,720,4
34,25289,10,0,1,815,11,1,116483,1020,14
32,127976,6,0,1,314,34,1,556125,180,0
28,35353,1,0,1,415,4,0,322955,270,8
31,51371,3,1,1,704,31,0,409377,720,11
49,11053,9,0,1,371,5,0,106984,690,18
48,39990,4,0,1,682,23,0,205088,1050,11
60,48741,7,1,1,313,38,0,204122,540,2
63,77771,4,0,1,425,16,0,107849,1410,0
62,186516,7,1,0,546,30,0,178065,1080,0
26,40257,1,0,1,543,2,0,143932,630,3
33,22315,7,0,0,688,30,0,142048,1680,43
53,38419,3,0,0,445,8,1,277696,1350,26
45,62730,7,1,1,779,31,0,261714,1470,7
38,84881,4,0,1,400,26,1,175654,750,0
55,45578,3,1,1,544,16,0,242134,570,4
74,16352,10,1,1,831,31,0,134729,120,6
30,44470,1,0,1,649,8,1,160514,60,0
48,85501,3,0,1,636,35,0,173806,1050,0
50,49206,1,1,0,372,29,0,192210,30,0
48,62504,1,1,1,761,7,1,466671,420,4
79,31143,4,0,0,421,24,1,456018,450,27
29,96462,2,1,1,373,15,0,324147,1320,0
58,53178,9,1,1,704,40,0,176531,1410,7
69,46204,8,1,1,854,1,0,206691,300,1
70,53806,3,0,0,681,2,0,347081,1530,22
21,32065,2,0,1,380,25,0,107204,330,2
60,33596,1,0,1,887,36,1,194501,420,5
31,41135,7,0,1,556,6,0,491122,540,22
79,14832,10,0,1,866,34,0,250283,1020,44
42,39115,10,1,0,424,9,0,259401,870,12
78,69974,6,0,1,746,4,1,200033,1110,1
55,91873,5,1,0,590,27,1,446850,1020,1
67,86751,4,1,0,455,40,0,377486,810,0
62,37547,9,0,0,538,4,1,198802,1200,15
44,28347,1,0,1,611,36,1,163337,600,8
33,30639,9,1,0,683,12,1,124094,750,7
55,57692,8,0,1,725,14,1,101994,450,0
50,59837,7,0,0,318,0,0,158514,1110,2
79,27147,10,0,0,655,40,1,323504,270,13
73,24727,5,0,1,659,24,0,138316,30,3
32,63146,8,1,1,619,35,1,307829,1320,8
39,22239,9,1,1,356,14,0,265399,720,24
45,16562,5,1,0,465,39,1,145043,840,20
37,54130,9,1,0,545,1,0,117664,60,0
70,59981,1,0,0,543,38,0,255228,360,1
50,42368,9,1,0,690,30,0,264727,1590,27
64,15041,8,1,0,616,18,1,327198,1500,75
56,70313,9,1,0,513,30,0,291388,510,0
31,54895,8,1,1,707,27,0,188466,540,1
62,51545,3,0,1,401,6,0,266023,300,2
18,56143,6,1,1,451,9,0,353583,1020,9
43,51814,2,0,0,438,34,1,126030,990,2
73,59426,8,0,0,402,11,0,400387,1680,26
24,31415,0,1,1,343,0,0,174396,1260,19
42,68446,9,0,1,322,32,1,213283,1200,2
36,34378,5,0,0,544,32,1,161368,240,2
56,67950,9,0,0,882,7,1,361231,1320,8
65,32566,9,1,1,495,35,1,437809,1440,62
44,75172,4,0,0,778,13,1,401459,1560,9
39,52907,7,0,1,686,17,0,137531,780,1
46,64835,10,0,1,381,37,0,572287,630,11
33,69256,8,0,1,494,24,1,176262,90,0
59,10000,4,0,0,334,0,0,130671,30,8
55,100629,2,0,0,415,15,0,111198,1440,0
76,36874,6,1,1,531,35,1,176290,660,5
47,51487,10,0,0,660,10,0,396891,1170,19
61,35954,8,1,0,745,24,0,702002,810,73
73,51844,10,0,1,768,12,1,185606,1620,12
72,30618,0,1,0,434,6,0,191153,360,5
21,29073,9,0,1,370,24,1,105826,240,2
45,35401,5,1,1,504,0,0,221967,1080,16
53,116974,10,0,0,395,35,1,454218,1500,0
77,22275,9,0,1,893,6,0,336452,120,15
68,83747,4,1,0,823,27,0,511603,1020,4
79,33758,2,0,0,894,28,0,217776,1560,31
67,40613,2,0,0,881,4,1,168332,1800,24
57,36397,8,1,1,676,13,0,192757,1710,30
72,16272,5,0,1,513,18,0,603678,1050,102
50,39535,8,0,0,511,27,1,492539,960,40
39,96467,1,1,0,862,20,1,240072,1740,0
19,10000,10,0,1,440,9,1,275726,420,30
27,33418,6,0,1,750,20,0,300407,1500,42
48,76219,8,0,1,420,4,0,414897,240,0
38,43743,1,1,0,317,22,1,336547,420,7
23,45182,8,1,0,328,0,1,169194,840,4
30,18226,6,0,1,585,9,1,121998,600,12
33,88922,9,0,0,516,4,1,139208,360,0
58,32633,6,1,1,764,11,1,309156,1050,27
68,56117,0,1,1,819,2,0,255149,1350,9
73,92099,5,1,1,673,17,0,133130,540,0
25,27445,8,1,1,391,37,0,240839,60,5
51,94301,5,0,1,684,16,0,138968,660,0
78,133975,9,1,1,401,8,0,304651,990,0
72,40391,1,1,0,648,11,0,203925,960,9
19,53449,0,1,1,449,26,1,244939,150,1
37,61579,3,1,0,854,22,0,111014,690,0
47,21140,10,1,1,463,36,0,765525,870,117
74,10000,0,1,1,489,25,0,102612,1170,34
36,111240,9,0,0,308,6,0,114722,600,0
77,38463,2,1,0,544,0,1,248822,360,5
58,44897,1,0,0,846,2,0,194250,390,2
51,53792,1,0,1,861,33,0,170163,30,0
20,42442,8,0,0,800,11,1,173333,150,1
55,54095,9,1,1,686,31,1,128971,360,0
60,59271,8,1,0,863,8,0,331358,360,2
46,31072,9,1,0,584,18,0,203967,900,14
75,35327,2,0,0,334,31,1,248037,510,8
38,30673,3,1,1,627,32,0,145183,1200,16
56,50121,10,0,0,848,1,1,236953,570,2
76,54420,8,0,0,761,26,1,110064,1290,3
38,71498,10,0,0,557,29,0,115446,1230,0
75,62443,4,0,0,427,10,0,137569,1410,2
39,98873,8,1,1,829,33,1,105987,510,0
26,46072,6,1,0,560,25,1,225152,1500,17
42,70774,4,1,1,736,19,0,551037,1080,14
46,37439,7,1,1,551,24,0,111363,1320,11
41,68933,3,1,0,374,0,1,373471,1380,9
70,11021,3,0,1,787,29,1,209090,30,12
52,25189,6,1,1,620,20,0,311799,630,23
25,26385,9,0,1,838,16,1,132025,690,9
73,122445,4,0,0,453,33,1,541862,990,0
63,25268,6,0,0,767,33,1,298560,120,10
22,69166,6,1,1,899,10,0,126194,960,0
70,70362,2,1,1,500,19,0,132649,1080,0
35,97131,4,1,0,820,17,0,187294,1470,0
72,62794,0,0,1,573,26,1,196162,900,1
54,75499,4,1,1,310,26,0,740381,1740,56
78,26276,8,0,0,578,18,1,108610,210,3
29,31268,5,0,0,453,35,1,406529,120,14
52,22521,1,1,1,608,21,1,325785,750,32
61,36138,7,0,0,437,6,0,164279,270,2
48,81102,7,0,0,538,39,1,109779,300,0
44,47616,1,0,1,869,27,0,195347,810,4
42,58350,9,1,1,806,18,1,429945,1350,20
78,42406,5,1,1,614,3,1,365032,1020,21
63,18743,0,0,0,799,16,0,112299,1680,44
70,22242,3,1,1,567,37,1,302531,1290,52
55,34472,4,0,0,529,13,0,353683,360,12
53,61333,2,0,0,350,29,0,408477,990,9
77,38096,1,1,1,768,37,1,159778,1260,13
26,42191,4,1,1,772,1,0,541088,1680,74
46,16427,5,0,0,754,19,0,186296,1020,31
49,19067,6,1,0,503,13,1,112138,120,4
41,39002,9,0,0,529,4,1,109813,1350,10
67,30328,0,0,0,573,14,0,394165,1320,55
53,48811,6,0,0,813,4,0,367174,1650,35
70,80451,9,1,0,445,4,0,135800,870,0
69,42993,3,1,0,790,24,0,276414,390,4
67,70688,2,1,0,798,39,0,338505,450,1
38,39997,5,0,1,633,11,1,348692,540,11
59,86408,9,1,1,689,28,1,462102,1440,5
77,72716,5,1,1,434,21,0,419074,390,1
67,62226,0,0,0,425,0,0,344567,480,2
21,163734,4,1,1,802,16,0,515118,1320,0
49,73209,8,0,0,564,33,0,190258,1560,2
26,61405,5,0,1,555,29,1,304288,150,0
49,103856,3,1,0,791,29,0,121222,420,0
47,93234,7,1,1,432,34,1,230848,810,0
38,19213,1,1,1,560,3,1,429081,720,53
56,36880,5,1,0,313,27,0,167849,300,2
35,69542,6,0,0,324,25,0,162692,210,0
71,37150,7,1,0,373,12,1,220027,1680,31
56,28380,4,0,1,694,34,0,198531,270,6
42,17545,6,0,1,366,13,0,129228,240,7
29,43965,2,0,1,397,22,1,107765,1170,5
78,35924,10,1,0,819,28,0,177929,1560,24
35,43242,5,0,1,743,21,1,553873,810,37
24,63051,3,1,1,560,33,1,317477,30,0
34,74227,6,1,0,362,11,1,197485,330,0
48,23694,2,0,0,732,30,1,421275,30,19
38,64069,7,0,0,679,0,1,284576,1440,8
66,21459,10,1,0,452,21,1,208592,1260,36
41,76836,10,0,0,797,20,0,330944,930,1
68,65971,5,0,0,352,9,0,562929,1350,27
65,73191,8,0,0,400,4,1,284775,450,0
58,32943,0,1,0,895,40,1,305915,1170,31
75,68524,1,0,1,426,38,1,169862,1440,2
78,29102,0,0,1,495,7,0,178806,360,5
61,45018,10,1,0,704,22,0,127066,360,1
70,32910,6,0,1,529,19,1,279659,1110,25
54,41366,6,0,1,420,20,1,591457,1050,57
31,70874,0,1,0,596,12,0,126710,1590,2
59,35803,10,0,0,637,33,1,159873,900,8
47,165083,6,0,1,732,24,0,285408,1650,0
52,58591,10,0,0,868,6,1,494399,1590,37
73,19308,8,0,0,435,4,0,269280,960,37
72,59098,1,0,1,596,31,0,511745,870,15
74,40307,4,0,1,779,38,1,316245,1020,18
80,36258,3,0,1,369,38,0,281806,1770,46
79,73888,1,0,1,693,11,1,224235,1530,3
47,67997,6,1,0,503,17,0,264423,570,0
61,41426,6,0,1,599,26,0,149006,660,3
74,37701,5,1,0,555,25,1,155234,1770,26
63,21480,5,1,1,893,4,0,300355,330,17
71,41674,1,0,1,892,32,0,270357,1530,27
53,78645,3,1,0,814,8,1,570087,1470,18
62,71950,2,1,0,381,39,1,335950,1530,7
23,122145,7,1,0,695,32,1,164078,150,0
80,112027,7,0,0,820,1,1,667639,1530,4
60,27014,7,1,1,371,19,1,125868,1320,21
73,61143,3,0,1,415,38,1,351601,870,5
64,40882,10,0,0,338,7,0,734212,1320,93
28,20400,2,1,1,333,16,1,286584,1410,57
18,62096,3,0,0,760,36,0,141108,1770,6
19,61040,10,0,1,750,28,1,145981,900,1
38,47006,1,0,1,396,39,1,101982,690,1
56,45129,10,1,1,840,24,1,214172,1650,20
60,24794,3,1,0,457,29,1,111675,240,3
67,46200,3,1,0,735,8,0,106746,30,0
64,118000,8,1,1,435,14,1,136428,1680,0
46,61084,1,0,0,819,22,0,113007,1620,4
75,40029,3,1,0,477,32,1,367990,1590,46
29,43872,1,1,0,756,40,0,411813,1590,47
70,107810,5,0,1,519,30,1,180589,510,0
55,86868,10,1,1,658,4,0,201744,990,0
47,28694,0,0,1,614,10,0,377103,1320,55
65,111535,0,1,0,691,14,0,157606,480,0
46,59768,10,1,0,733,0,1,130020,90,0
35,26682,10,1,1,850,5,0,143946,690,9
24,176499,9,1,1,504,10,1,194155,1770,0
79,63110,9,0,1,799,26,1,142810,1020,1
72,31942,7,0,1,556,33,1,146893,930,10
27,69425,10,0,0,517,19,0,101899,90,0
79,67089,6,0,0,314,34,0,104699,150,0
45,25358,1,1,1,425,25,1,267146,1260,40
33,45772,7,0,0,331,15,0,558616,180,15
61,18181,3,1,1,736,39,1,123182,630,12
78,38933,0,0,0,814,18,1,425213,1740,63
22,45792,0,0,0,357,32,0,349048,390,6
38,41259,4,1,0,535,5,0,267021,780,9
37,71701,3,0,0,590,15,1,607693,1050,17
58,42583,5,1,0,632,0,0,379533,1440,37
41,18119,4,1,0,884,4,0,117225,1170,25
71,39021,9,1,1,764,18,1,197471,180,2
37,116202,7,1,0,756,17,0,327343,150,0
76,67878,7,1,1,370,24,1,160382,120,0
31,46377,9,1,1,424,25,0,264255,1530,21
53,63544,2,0,0,891,39,1,319807,690,2
28,66124,1,1,0,516,32,0,378111,150,1
67,42230,5,0,0,751,24,0,256326,750,8
80,45678,10,1,1,354,34,1,428053,1290,34
47,78199,3,1,0,663,1,1,395471,960,2
32,30940,8,0,1,435,34,0,253051,120,5
35,55245,0,1,1,407,40,1,200557,1590,10
44,68682,9,0,0,820,25,1,409351,690,3
65,37963,6,1,1,409,13,1,615020,1080,66
68,82829,8,0,1,309,6,0,134685,1650,0
68,57249,8,1,1,804,18,0,364443,540,4
42,95682,6,1,1,589,23,1,317511,1020,0
56,44518,1,0,1,389,28,1,105125,450,1
41,52661,3,1,1,756,29,1,437436,150,4
49,112454,6,1,1,746,7,1,147727,1140,0
27,59164,0,1,1,496,10,1,287372,510,2
40,40486,1,1,1,331,5,0,303923,780,12
59,57929,3,1,1,753,3,1,279487,90,0
54,24692,6,0,0,359,17,0,388089,630,33
67,63058,4,1,0,649,7,1,107086,1740,4
60,89822,3,0,0,771,39,1,767696,810,11
77,70523,2,1,1,768,20,0,337182,1320,6
27,78408,4,0,0,386,29,1,213223,360,0
24,79386,3,0,1,683,7,0,323641,540,0
19,29706,9,1,1,658,21,1,461989,1680,80
37,72151,10,1,1,430,31,1,239713,1140,1
50,49783,2,0,0,371,21,0,220063,750,3
64,31763,1,0,1,731,6,1,359383,750,24
72,53724,7,1,1,434,3,0,198198,630,2
34,73136,2,1,0,689,32,1,142968,540,0
40,46614,5,0,0,768,35,0,103647,90,0
57,67243,4,0,1,832,13,1,244808,360,0
49,10000,4,0,0,753,8,0,402392,810,66
68,42988,10,0,1,713,8,0,105323,510,1
57,45141,4,1,0,738,6,0,287338,1620,28
18,34124,0,1,1,486,16,0,205086,660,8
77,43161,6,1,1,853,14,0,518383,570,24
40,47655,8,0,0,868,35,1,441271,300,8
76,59086,9,1,1,318,8,1,141271,90,0
45,76371,3,0,1,729,11,0,209819,840,0
78,39377,4,1,1,884,15,1,191926,1230,14
45,39346,9,1,1,370,24,0,180561,1800,28
30,38651,4,1,1,848,0,0,122631,270,1
52,55917,9,1,1,732,6,0,256561,1560,13
33,11859,7,1,1,541,4,1,183859,1440,56
30,36247,8,0,1,319,14,0,239381,750,10
41,64991,4,1,0,482,14,1,387917,450,2
61,82400,7,1,1,862,35,0,152903,300,0
56,52599,2,0,0,357,32,0,470091,1320,31
56,60821,3,0,1,817,29,0,157024,120,0
49,53832,0,1,1,642,16,1,408889,180,3
42,53504,0,0,0,827,18,1,417163,60,3
71,52773,10,1,1,828,33,1,701897,450,31
33,94845,1,1,1,862,24,0,101294,930,0
50,20756,7,0,0,853,27,0,159765,690,14
74,83591,1,0,0,638,21,0,125946,1650,0
69,146348,9,0,0,428,2,0,529458,360,0
45,31696,7,0,0,797,5,0,307297,300,10
36,51921,1,1,1,480,9,1,214931,240,1
48,72130,3,0,0,304,38,1,210447,1200,1
25,124983,0,1,1,594,35,0,311239,1530,0
62,27186,10,0,1,781,0,0,181433,870,15
71,150141,3,1,1,713,39,0,126336,1200,0
46,32001,1,0,1,557,10,0,153910,270,3
39,37286,3,0,0,530,16,1,127840,1740,22
47,61504,10,0,0,836,27,0,284475,1740,14
59,16963,5,1,0,555,11,1,404413,720,52
41,88546,6,0,0,698,5,0,313341,210,0
43,86246,4,1,0,605,1,0,485312,1560,8
62,73955,9,0,0,879,38,0,179744,930,0
72,88593,2,0,1,351,29,1,325288,1200,1
27,172568,7,0,0,343,28,0,654678,690,0
38,70553,10,1,0,397,8,0,276776,360,0
42,60519,2,0,1,470,11,1,118890,1110,1
61,39942,0,1,1,583,21,1,143355,570,3
66,54876,9,1,1,397,16,0,169011,930,2
72,52980,8,1,1,569,6,0,163516,600,1
56,53088,6,0,1,867,18,0,127065,120,0
27,15868,1,0,1,661,8,0,351138,270,27
50,66310,3,0,1,600,3,1,356514,840,3
24,60849,5,1,1,899,11,1,400791,540,4
42,38311,6,1,0,470,33,0,157991,330,2
75,109255,10,1,1,446,8,1,133449,600,0
62,67788,3,0,0,831,9,0,504400,510,5
78,46911,0,1,1,321,38,0,150153,1680,14
19,57480,3,0,1,784,7,1,269566,240,1
19,16352,7,0,1,302,7,0,133462,990,23
79,131810,8,0,1,607,32,1,140418,1740,0
51,40906,2,1,1,547,12,1,316296,180,4
32,26241,9,1,1,590,31,0,324009,780,28
34,34681,4,1,1,716,31,0,133178,720,5
73,25483,2,0,0,791,40,0,357701,750,32
75,51329,8,0,1,832,14,1,481112,1080,26
20,91202,5,1,1,553,25,1,265699,30,0
21,58558,3,0,1,895,30,0,321896,540,2
70,55059,0,0,1,335,14,0,203719,1470,8
23,82059,7,0,1,843,30,0,189728,930,0
48,42870,2,1,1,534,30,1,169187,1530,15
68,55062,0,0,1,503,18,0,139345,1290,4
50,54732,8,1,0,451,8,0,131024,1440,5
37,38149,6,0,1,551,27,0,388305,510,15
34,47564,5,0,0,847,5,0,586458,1410,61
33,22163,5,0,0,315,16,1,377360,180,20
77,44806,7,0,0,731,39,1,354229,1020,18
80,32941,5,0,1,839,32,0,157683,930,10
53,123245,10,1,1,878,16,1,250291,480,0
78,116503,10,1,1,438,8,0,357523,210,0
64,76600,0,1,1,800,40,1,224277,1470,2
24,41560,1,0,0,322,40,1,178117,210,1
70,24254,4,1,0,372,13,0,166250,270,6
67,34717,2,0,1,539,39,0,192796,600,6
44,70418,9,0,1,490,6,1,103027,1320,1
49,75327,10,0,0,516,2,1,155591,570,0
65,18692,6,1,0,404,21,0,391002,300,30
59,16410,2,1,0,470,18,0,493012,990,77
60,137355,2,1,1,336,3,0,254243,1620,0
34,37002,5,1,1,456,5,0,183100,1680,27
57,16912,0,1,1,340,14,1,325789,1350,66
77,50868,6,1,1,734,19,1,282768,1110,10
80,120347,10,1,1,658,37,0,132478,1560,0
18,44842,8,1,0,792,36,1,284569,510,5
52,11189,10,1,0,631,40,1,214599,1620,69
27,23752,8,1,0,764,14,0,255206,1440,48
72,57496,1,0,1,400,2,1,140604,1590,6
39,53741,1,0,1,766,23,0,107941,1770,8
40,12453,1,1,0,808,14,1,145766,690,20
58,51213,10,1,0,702,35,0,118331,1530,7
38,69610,8,1,0,888,7,1,231157,1380,3
